raw_SMILES,reaxys_id,SMILES,cas_number
COC(=O)C1=CC=C(Br)C=N1,473050,COC(=O)c1ccc(Br)cn1,29682-15-3
BrC1=CC2=C(C=C1)C1=C(C=CC=C1)N2C1=CC=CC=C1,21564980,Brc1ccc2c3ccccc3n(-c3ccccc3)c2c1,94994-62-4
CC1=CC=C(Br)S1,108140,Cc1ccc(Br)s1,765-58-2
OC1=CC=C(Br)N=C1,109101,Oc1ccc(Br)nc1,55717-45-8
BrC1=CC=CC2=C1SC1=CC=CC=C21,141567,Brc1cccc2c1sc1ccccc12,97511-05-2
OC(=O)C1=CC(Br)=CN=C1,115854,O=C(O)c1cncc(Br)c1,20826-04-4
BrC1=CC=C2NN=CC2=C1,3261,Brc1ccc2[nH]ncc2c1,53857-57-1
NC1=CC(Br)=CN=C1N,119436,Nc1cc(Br)cnc1N,38875-53-5
BrC1=CSC(C=O)=C1,108455,O=Cc1cc(Br)cs1,18791-75-8
NC1=NC=C(Br)C=N1,111376,Nc1ncc(Br)cn1,7752-82-1
BrC1=NC2=CC=CC=C2C=C1,112562,Brc1ccc2ccccc2n1,2005-43-8
OC(=O)C1=CC=C(Br)S1,118364,O=C(O)c1ccc(Br)s1,7311-63-9
OC1=CC(Br)=CN=C1,108483,Oc1cncc(Br)c1,74115-13-2
CC(=O)C1=CC=C(Br)S1,113949,CC(=O)c1ccc(Br)s1,5370-25-2
OC(=O)C1=NC=C(Br)C=C1,116013,O=C(O)c1ccc(Br)cn1,30766-11-1
CC1=NC=CC(Br)=C1,107332,Cc1cc(Br)ccn1,22282-99-1
BrC1=CN=C(I)N=C1,7578834,Brc1cnc(I)nc1,183438-24-6
NC1=CC=C(Br)N=C1,109102,Nc1ccc(Br)nc1,13534-97-9
FC(F)(F)C1=CN=C(Br)C=C1,9043478,FC(F)(F)c1ccc(Br)nc1,50488-42-1
BrC1=CN=CC(C=O)=C1,109115,O=Cc1cncc(Br)c1,113118-81-3
OC(=O)C1=CC(Br)=NN1C1=C(Cl)C=CC=N1,11247920,O=C(O)c1cc(Br)nn1-c1ncccc1Cl,500011-86-9
BrC1=CC=C2SC=CC2=C1,112878,Brc1ccc2sccc2c1,4923-87-9
OC1=CC=CN=C1Br,109829,Oc1cccnc1Br,6602-32-0
NC1=NC=CC=C1Br,109867,Nc1ncccc1Br,13534-99-1
FC1=NC=CC(Br)=C1,3536909,Fc1cc(Br)ccn1,128071-98-7
BrC1=C2NC=CC2=CC=C1,114750,Brc1cccc2cc[nH]c12,51417-51-7
CCOC(=O)C1=CSC(Br)=N1,127473,CCOC(=O)c1csc(Br)n1,100367-77-9
BrC1=CC=CC2=C1C1=CC=CC=C1O2,143011,Brc1cccc2oc3ccccc3c12,50548-45-3
CN1C=C(Br)C=N1,108120,Cn1cc(Br)cn1,15803-02-8
COC1=CC=CC(Br)=N1,1447640,COc1cccc(Br)n1,40473-07-2
BrC1=C2C=CN=CC2=CC=C1,114468,Brc1cccc2cnccc12,34784-04-8
ClC1=NC=C(Br)C=C1N(=O)=O,147551,O=[N+]([O-])c1cc(Br)cnc1Cl,67443-38-3
BrC1=NC(=NC(=N1)C1=CC=CC=C1)C1=CC=CC=C1,26467030,Brc1nc(-c2ccccc2)nc(-c2ccccc2)n1,80984-79-8
BrC1=NC=CC=C1C=O,3537244,O=Cc1cccnc1Br,128071-75-0
OC(=O)C1=CC=C(Br)O1,118354,O=C(O)c1ccc(Br)o1,585-70-6
COC(=O)C1=NC(Br)=CC=C1,128590,COC(=O)c1cccc(Br)n1,26218-75-7
